files_repo_name,version
strider2038/imgcache-service,"""php"":"">=7"
ricco24/nette-rollbar,"""php"":"">=5.3.7"
charlesportwoodii/yii2-api,"""php"":"">=7"
unreal4u/telegram-bots,"""php"":"">=7"
cartalyst/tags,"""php"":"">=7"
ClaudiuCreanga/magento2-store-locator-stockists-extension,"""php"":""~7"
loostro/cryptomute,"""php"":""^5.6.1||~7"
basz/SlmQueueDoctrine,"""php"":""^5.5||^7"
eugene-matvejev/battleship-game-api,"""php"":"">=7"
iranianpep/botonomous,"""php"":"">=7"
conspir/blog,"""php"":""7"
framewr/Twig,"""php"":"">=5.2.7"
thenomadcoder/badgehub,"""php"":"">=7"
brick/event,"""php"":"">=7"
taobig/php-filter,"		""php"":""^7"
framework-plus/core,"""php"":"">=7"
Nilpo/haveibeenpwned,"		""php"":""^5.3||^7"
roocster/psr4_auto_loader,"""php"":"">=7"
ascribano/rob,"""php"":""^5.6||^7"
symfony-cmf/standard-edition,"""php"":""^5.6|^7"
xola/omnipay-common,"""php"":""^5.6|^7"
wizard2014/ze-album.dev,"""php"":""^5.5||^7"
asanzred/gopaytoo,"""php"":""~5.6|~7"
ngranko/phprofiler,"""php"":""^7"
abraham/twitteroauth,"""php"":""^5.6||^7"
ClanCats/Container,"		""php"":"">=7"
php-lab/di,"""php"":"">=7"
jugger-php/jugger-model,"""php"":""^7"
blar/streams,"""php"":""^7"
bencarter78/HumanNameParser,"""php"":""^5.6||^7"
sebastianbergmann/php-timer,"""php"":""^5.3.3||^7"
gennadiplus/makeprogramminggreatagain,"""php"":""^7"
rock-symphony/container,"""php"":""^5.3|^7"
haithemT/ArtisantEcpert,"""php"":""^5.6||^7"
Ilyes512/cells,"""php"":""^7"
4devs/Locale,"""php"":""~5.5|~7"
phurity/router,"""php"":""~7"
robinlehrmann/lightify-symfony-bundle,"""php"":""^5.3.9|~7"
AlexyaFramework/Database,"""php"":"">=7"
qweluke/SimpleRestServer,"""php"":"">=7"
barryvanveen/laravel-lastfm,"""php"":""~5.6|~7"
picamator/CacheManager,"""php"":"">=7"
leocavalcante/shape,"""php"":"">=7"
Ma27/Ma27ApiKeyAuthenticationBundle,"""php"":""^7"
duncan3dc/speaker,"""php"":""^5.6|^7"
genkgo/xsl,"""php"":"">=7"
spatie/laravel-medialibrary,"""php"":""^7"
flutchman/poc_CtC,"""php"":""~5.6|~7"
subversivo58/mdbsh,"""php"":"">=7"
phpcr/phpcr,"""php"":""^5.6|^7"
behance/nbd.php-validation,"""php"":""^7"
makasim/values,"""php"":""^7"
kuria/debug,"""php"":"">=7"
samdark/yiipowered,"""php"":"">=7"
morgandenning/moxie,"""php"":"">=7"
systream/dependency-injection-container,"""php"":""^5.4||^7"
znck/plug,"""php"":"">7"
polderknowledge/entityservice,"""php"":""~5.5|~7"
temp/transcoder-bundle,"""php"":""^7"
bitExpert/pathfinder,"""php"":""^7"
findli/365,"""php"":"">=7"
DJOAmersfoort/IdentityProviderBeta,"""php"":""^7"
timonf/twigony-bundle,"""php"":"">=7"
garygreen/Image,"""php"":""^5.3||^7"
LesliTech/LesliWeb,"""php"":"">=7"
Xerkus/zend-mail,"""php"":""^5.5||^7"
padosoft/workbench,"""php"":"">=7"
autowp/textstorage,"""php"":""^5.6||^7"
duncan3dc/exceptions,"""php"":""^7"
opis/cache,"""php"":"">=7"
php-fp/php-fp-either,"""php"":"">=7"
AlexyaFramework/Roles,"""php"":"">=7"
treinaweb-git/github-flow,"""php"":""^5.5||^7"
Helfull/canvasjs-php,"""php"":""~5.5|~7"
TopMcFrance/api,"""php"":""^5.6|^7"
overblog/ThriftBundle,"""php"":""^5.4|~7"
Aerendir/stripe-bundle,"""php"":""~7"
nhosting/doctrine-cache-service-provider,"""php"":"">=7"
matware-lab/jUpgradeNext,"""php"":""^5.3.10|~7"
MontealegreLuis/edeco,"""php"":""^7"
Ppito/zf3-whoops,"""php"":""^5.5.9||^7"
MadCat34/zend-inputfilter,"""php"":""^5.5||^7"
atrapalo/php-tools,"""php"":""^7"
Breinify/brein-api-library-php,"""php"":""5.6.17"
gunharth/laravel-lightspeed-api,"""php"":""^7"
fntlnz/penny,"""php"":""^5.6|^7"
serkin/volan,"""php"":"">=7"
smartilabs/metakocka,"""php"":""^5.6|^7"
egeloen/IvoryCKEditorBundle,"""php"":""^5.6|^7"
botamp/botamp-magento,"""php"":""~5.6.5|7.0.2|7.0.4|~7"
mailmotor/campaignmonitor-bundle,"""php"":""^7"
hoshiko-dev/moderate-framework,"""php"":""~5.6.7"
radekhubner/DoctrineExtensions,"""php"":""^7"
webberty/genie-framework,"""php"":""^5.6|^7"
WPN-XM/website-wpn-xm.org,"""php"":""^7"
PHPMessageBus/eventbus-queue,"""php"":"">=7"
pancheps/Budget,"""php"":""^5.6||^7"
thephpleague/uri-manipulations,"""php"":"">=7"
Jalle19/laravel-unshitty-flash,"""php"":"">=7"
phpro/annotated-cache-bundle,"""php"":""~7"
dunglas/php-to-json-schema,"""php"":"">=7"
Gitilicious/git-client,"""php"":"">=7"
MehrAlsNix/interactivephp,"""php"":""^5.5||^7"
matthiasnoback/SymfonyDependencyInjectionTest,"""php"":""^7"
consatan/weibo_image_uploader,"""php"":"">=7"
offmania9/Boostack,"""php"":""^5.6||^7"
levmorozov/mii-app,"""php"":"">=7"
crossjoin/Browscap,"""php"":""^7.0|^7"
M6Web/XRequestUidBundle,"""php"":""^7"
elementalize/user,"""php"":""~5.5|~7"
laravolt/avatar,"""php"":"">=7"
localheinz/github-changelog,"""php"":""^5.6||^7"
difra-org/difra,"""php"":""~7"
activecollab/bootstrap,"""php"":"">=7"
Symplify/PHP7_CodeSniffer,"""php"":""^7"
malukenho/docheader,"""php"":""~5.5|^7"
janit/decoupling-ez,"""php"":""~5.5|~7"
phpassert/examples,"""php"":"">=7"
zfcampus/zf-content-negotiation,"""php"":""^5.6||^7"
scr-be/cache-bundle,"""php"":"">=5.6.4,~5.6|~7"
buonzz/satis-laravel,"""php"":""^5.3.2||^7"
zendframework/zend-expressive-zendrouter,"""php"":""^5.6||^7"
composer/spdx-licenses,"""php"":""^5.3.2||^7"
Joker8991/TCI_telegram_bot,"	""php"":""^7"
elcodi/MediaBundle,"""php"":""^5.4|^7"
komentify/integration-libs,"""php"":""^5.3.3||^7"
hayzem/twitter-stream-bundle,"""php"":""~5.5|~7"
photon/utils-mongodb,"""php"":""^5.5||^7"
icicleio/icicle,"""php"":""^7"
zelenin/http-client,"""php"":"">=7"
not--p/PHP,"""php"":""^5.3.3||^7"
jurchiks/dbhandler,"""php"":"">=7"
BenGorFile/DoctrineORMBridge,"""php"":""^5.5||^7"
eeemarv/eland,"		""php"":""^7"
view-components/doctrine-data-processing,"""php"":""^5.5||^7"
robertboloc/RbComment,"""php"":""^5.6||^7"
accompli/accompli,"""php"":""^5.5||^7"
RudyMas/pdoext,"""php"":"">=7"
ciaranmcnulty/behat-psr7extension,"""php"":""^7"
wordplate/translator,"""php"":""^7"
RobinVanDijk/LaravelActionPermission,"""php"":""~5.6|~7"
jakubigla/PSR7Auth,"""php"":""^7"
gmo/web,"""php"":""^7"
txj123/cms,"		""php"":"">=7"
pamil/symfony,"""php"":""^7"
jbroadway/elefant,"		""php"":"">=5.3.7"
guillaume-sainthillier/ByNight,"""php"":"">=7"
intelligide/spherio,"""php"":"">=7"
eugenecooper/world-locations,"""php"":""^5.6|^7"
newage/console-tools,"""php"":"">=5.3.3|^7"
cristagu/cassium,"""php"":"">=7"
Mikulas/transpiler,"""php"":""^7"
zfcampus/zf-development-mode,"""php"":""^5.6||^7"
PHPinDD/phar-better-tool-example,"		""php"":"">=7"
rpaneru/schools-api,"""php"":""^5.5||^7"
zalora/punyan,"""php"":"">=7"
ublaboo/mailing,"		""php"":"">=7"
PlanesZwalker/FreelancerSIO,"""php"":"">=5.6||~7"
assdc/asmall,"""php"":"">=7"
calam-project/dbal,"""php"":"">=7"
OpenBuildings/shipping,"		""php"":""^7"
morfin60/SonataAdminBundle,"""php"":""^5.3||^7"
mheki/phpspec,"""php"":""^5.6||^7"
patrickschur/html5gen,"""php"":""^7"
cmnty/php-push-bundle,"""php"":""~7"
DraperStudio/Payload,"""php"":""^5.6||^7"
rollerworks/PasswordStrengthBundle,"""php"":""^5.6||^7"
scripturadesign/tokenizer,"""php"":""^5.6|^7"
tswiackiewicz/ddd-workshops,"""php"":"">=7"
masterweb121/google2fa,"""php"":"">=5.3.7"
naroga/multiblog,"""php"":"">=7"
JamesAndresCM/rhcsa-zend,"""php"":""^5.6||^7"
gcds/integration-tests,"""php"":""^5.4|^7"
WyriHaximus/php-travis-client,"""php"":""^7"
Xerkus/zend-modulemanager,"""php"":""^5.5||^7"
owenandrews/willyweather-php,"""php"":""^7"
john-cms/johncms-next,"""php"":""^5.6||^7"
Donny5300/modulair-router,"""php"":"">=7"
ThrusterIO/data-indexer-bundle,"""php"":"">=7"
WeeManMSK/Witty_CMS,"""php"":"">=7"
fsi-open/teryt-database-bundle,"""php"":"">=7"
klimesf/travis-quickstart,"		""php"":"">=5.3.7"
SocialiteProviders/SalesForce,"""php"":""^5.6||^7"
moccalotto/stringy,"""php"":"">=7"
liip/RMT,"""php"":""^5.6|^7"
alekitto/compressor-bundle,"""php"":""^5.5|^7"
akrabat/slim-bookshelf,"""php"":""7"
